Date,AAPL,ABBV,AMZN,DB,DIS,FB,GOOG,HAL,HSBC,JPM,KO,MCD,MSFT,PFE,XOM
2015-01-02,0.010335854403871674,-0.01588200082542013,-0.020067195491763886,0.004022653586568774,0.008929614161639223,-0.010094285862021974,0.007671660835478491,0.001854822540173163,-0.03794371963363289,0.022861843811246466,NA,-0.0018346821285555991,0.011188679083418763,-0.015655323246936498,NA
2015-01-05,0.01422928036429211,0,0.013374191818421336,0.00844227625147565,0.01025819480399328,0.011148283450165391,-0.0025592310580292215,-0.012387391036616449,-0.023387951333788796,0.00726011173319668,0,-0.00156513112147924,0.013213016558814605,0,-0.023893481786904987
2015-01-06,0.017950224173886843,0.010092296725965913,0.019456830867383063,-0.005735799388657274,-0.01627782092590932,0.007026708091150975,0.017585412371069375,0.019216290268018858,-0.03577695203734934,-0.023959898944181202,0,-0.03764381102168822,0.01711368530339019,0.010571334855307058,-0.026223850870656765
2015-01-07,0,0.010801431906664657,-0.010496500242327279,0.010893725193698469,-0.0020053349706526343,0.010446580186616632,-0.004112467146587529,0.003567320547842686,-0.021697203687799538,-0.01396781817205219,0,-0.017530617285892443,0.020705503928044315,0.01293013517734171,0
2015-01-08,0.005537093506073099,0.007773540947715317,0.010360256807614111,-0.003153119762940361,0.04104732633428021,-0.003587902970567654,0.01594154386902182,0.0019909052516293773,-0.009976198288578236,0.0018644105712744385,0.007090818564620255,-1.427351018616212e-4,0.028966497117920566,0.008093482899529797,-0.0034045916470215286
2015-01-09,0.010828099725134923,-0.028558008510614203,0.0012737780165281733,0.01161792810365227,0.005139740366596218,-0.004847482709607026,-0.006976777179573714,0,-0.035810441450394276,0,0,0,0.005702359364183422,-0.018554011123862346,-0.08949815083910255
2015-01-12,0.023788228302713762,-0.004231607572963177,0.028462591040357667,-0.008153669745698753,-0.0017169832920842384,0.00442741982552788,0.0028379964711698564,NA,-0.028006136129610597,-0.018116841641865257,0.05769286716834593,0,0.017902492392554144,0.014926992541156717,-0.015703920639673703
2015-01-13,0.001987965922078919,-0.00994672046692373,0.012222688960601934,0,0.03921031399849157,0.011302969327447912,0.011630125246862162,-0.006132764586531149,-0.021680154710220067,0,-0.010350188169567252,NA,0.021818645876463684,0.029376835741228756,-0.0018400822245831948
2015-01-14,-0.001555009258357893,0.02557761321866044,0.006958235547096526,-0.010876435117763539,0,0.006569400767356937,0.0034002452135136587,0,-0.03716750158200468,-0.012955655103913149,0,0.027012465062581672,0.017773533827624637,0.025245515615318716,NA
2015-01-15,-0.005396444086495661,NA,0.0120491074707222,-0.003999157213293851,0.002853432577519456,-5.719873366191346e-4,0.004701424824156474,0.004680164964525125,-0.025058970839198214,-0.0071089876813845935,0,0,0.034017374163472246,NA,-0.01802948632538908
