Date,AAPL,ABBV,AMZN,DB,DIS,FB,GOOG,HAL,HSBC,JPM,KO,MCD,MSFT,PFE,XOM
2015-01-02,58.34319526627219,50,44.82338611449452,37.65060240963856,53.571428571428584,48.47250509164969,62.62203626220362,62.484921592279846,38.318584070796454,69.9228791773779,NA,61.06666666666667,58.502538071065985,51.506024096385545,NA
2015-01-05,65.38461538461539,53.90625,66.7296786389414,60.17699115044248,67.8082191780822,70.97625329815303,52.85481239804241,40.07561436672967,40.421631530705774,48.44606946983547,43.4476693051891,62.70928462709285,64.01384083044982,57.66641986942182,38.04651162790697
2015-01-06,73.2067510548523,57.81249999999999,72.74509803921568,40,40.97744360902255,75.09578544061303,68.19571865443424,69.04315196998124,38.742023701002736,33.333333333333336,43.4476693051891,20.648967551622416,66.62269129287598,63.8268156424581,29.96715927750411
2015-01-07,67.73212332284061,64.33301797540209,47.88069073783359,83.79446640316205,68.27309236947792,74.16666666666666,54.05759162303666,74.05731523378581,41.963015647226165,43.99999999999999,43.4476693051891,40,66.66666666666667,68.4361549497848,40.41184516337732
2015-01-08,62.25749559082891,59.113796576032215,60.44568245125348,53.10344827586208,66.74311926605505,57.5,71.65354330708661,48.9851150202977,49.74704890387857,60.55045871559632,43.4476693051891,66.45962732919254,66.44474034620507,52.85171102661598,50.856531049250535
2015-01-09,62.01413427561837,42.638623326959845,58.95522388059702,61.79104477611941,62.8440366972477,52.17391304347826,53.96825396825397,49.172044689636024,44.161073825503344,53.686994063680515,55.057167985927876,83.22981366459626,62.13592233009709,50,28.60650705954573
2015-01-12,70.56555269922879,55.60123329907503,75.58945908460471,56.15763546798029,35.98726114649681,69.84536082474227,56.93548387096774,NA,44.11057692307691,46.82352941176471,66.66666666666666,99.99999999999999,71.92982456140349,50.29515938606847,44.723618090452256
2015-01-13,59.973404255319146,42.689295039164485,64.26512968299711,0,74.64566929133858,66.7785234899329,61.41975308641976,49.35897435897435,38.27160493827161,46.46651974911002,75.08650519031143,NA,67.02290076335878,76.51331719128329,49.571836346336816
2015-01-14,53.305785123966935,58.43793584379358,60.68376068376069,23.326133909287254,63.30708661417322,52.17391304347826,56.80119581464873,58.28947368421053,34.54332552693208,46.10951008645533,79.23875432525952,100,74.63312368972748,75.64276048714478,NA
2015-01-15,53.086419753086425,NA,64.39267886855241,32.82732447817836,51.96850393700787,62.25352112676056,55.34979423868312,50.60975609756098,47.69433465085638,49.166666666666664,83.39100346020761,100,78.32585949177877,NA,34.60490463215258
2015-01-16,42.03102961918194,39.61352657004829,37.768240343347635,14.527503526093085,63.907284768211916,65.4178674351585,40.82503556187766,40.234791889007475,54.357798165137616,39.49579831932773,NA,50,53.02013422818792,NA,45.45454545454545
2015-01-20,61.77658142664872,87.46898263027295,60.309278350515456,65.16393442622952,54.55882352941176,58.90736342042755,61.99095022624433,39.03508771929824,45.19716885743175,45.63722722290497,87.5432525951557,38.41463414634146,72.35772357723576,55.4140127388535,31.866464339908948
2015-01-21,64.09774436090224,NA,65.85858585858585,43.29896907216495,59.16114790286975,47.70318021201414,49.65753424657534,49.70059880239521,45.20917678812416,51.77865612648221,91.69550173010381,26.829268292682926,67.28280961182995,83.42618384401115,40.27533743311236
2015-01-22,67.13709677419355,0,55.33453887884267,42.602040816326536,57.65765765765765,47.0873786407767,55.69715246928496,64.77132262051916,46.49484536082475,31.03448275862069,95.8477508650519,30.524900306037285,59.96275605214152,23.795180722891565,NA
2015-01-23,54.74006116207951,73.07692307692308,48.44720496894409,38.70967741935483,59.44055944055943,72.01492537313432,61.73677069199457,46.35514018691589,41.5752741774676,38.045375218150085,100,34.220532319391644,57.486136783733826,38.593242535358826,48.68421052631578
2015-01-26,57.19999999999999,55.65819861431871,54.54545454545454,42.91497975708501,64.70588235294117,87.74038461538461,62.12732669077554,38.09523809523809,49.918699186991866,39.59276018099547,80.00859845227859,26.193724420190993,58.89046941678521,53.391304347826086,28.886168910648713
2015-01-27,64.33333333333333,33.41346153846154,67.24409448818898,36.10648918469219,76.41325536062378,47.65625,62.51788268955651,68.72909698996654,52.757352941176464,43.74193548387097,60.017196904557174,41.993534714473775,52.64367816091954,44.599999999999994,38.422191767765
